contigs_db	SRS043768-contigs-fixed
Total Length	195235178
Num Contigs	128561
Num Contigs > 100 kb	25
Num Contigs > 50 kb	260
Num Contigs > 20 kb	1385
Num Contigs > 10 kb	3115
Num Contigs > 5 kb	5912
Num Contigs > 2.5 kb	11485
Longest Contig	207130
Shortest Contig	201
Num Genes (prodigal)	278364
L50	6239
L75	32723
L90	77348
N50	4739
N75	965
N90	477
