contigs_db	SRS020271-contigs-fixed
Total Length	55572435
Num Contigs	28044
Num Contigs > 100 kb	4
Num Contigs > 50 kb	45
Num Contigs > 20 kb	371
Num Contigs > 10 kb	995
Num Contigs > 5 kb	2199
Num Contigs > 2.5 kb	4348
Longest Contig	112603
Shortest Contig	217
Num Genes (prodigal)	67221
L50	1843
L75	6614
L90	15063
N50	5908
N75	1599
N90	630
