contigs_db	SRS893231-contigs-fixed
Total Length	74114430
Num Contigs	33358
Num Contigs > 100 kb	30
Num Contigs > 50 kb	121
Num Contigs > 20 kb	479
Num Contigs > 10 kb	1231
Num Contigs > 5 kb	2779
Num Contigs > 2.5 kb	5508
Longest Contig	276629
Shortest Contig	202
Num Genes (prodigal)	89831
L50	1871
L75	7173
L90	17058
N50	7127
N75	1856
N90	716
