contigs_db	SRS064757-contigs-fixed
Total Length	169885468
Num Contigs	91591
Num Contigs > 100 kb	29
Num Contigs > 50 kb	211
Num Contigs > 20 kb	1170
Num Contigs > 10 kb	2968
Num Contigs > 5 kb	6021
Num Contigs > 2.5 kb	11487
Longest Contig	233255
Shortest Contig	200
Num Genes (prodigal)	222731
L50	4995
L75	21472
L90	51266
N50	6123
N75	1346
N90	576
