contigs_db	SRS1041093-contigs-fixed
Total Length	32481471
Num Contigs	10387
Num Contigs > 100 kb	14
Num Contigs > 50 kb	70
Num Contigs > 20 kb	322
Num Contigs > 10 kb	694
Num Contigs > 5 kb	1258
Num Contigs > 2.5 kb	2227
Longest Contig	150806
Shortest Contig	208
Num Genes (prodigal)	34860
L50	521
L75	1801
L90	4525
N50	13311
N75	3258
N90	1043
