contigs_db	SRS014948-contigs-fixed
Total Length	141865264
Num Contigs	94209
Num Contigs > 100 kb	16
Num Contigs > 50 kb	149
Num Contigs > 20 kb	892
Num Contigs > 10 kb	1986
Num Contigs > 5 kb	4074
Num Contigs > 2.5 kb	8911
Longest Contig	192176
Shortest Contig	215
Num Genes (prodigal)	197931
L50	6103
L75	27171
L90	58096
N50	3460
N75	981
N90	503
