contigs_db	SRS050974-contigs-fixed
Total Length	33695363
Num Contigs	24620
Num Contigs > 100 kb	3
Num Contigs > 50 kb	53
Num Contigs > 20 kb	180
Num Contigs > 10 kb	340
Num Contigs > 5 kb	786
Num Contigs > 2.5 kb	2157
Longest Contig	137556
Shortest Contig	226
Num Genes (prodigal)	49779
L50	1902
L75	7490
L90	15528
N50	2736
N75	913
N90	457
