contigs_db	SRS893256-contigs-fixed
Total Length	54792981
Num Contigs	23809
Num Contigs > 100 kb	16
Num Contigs > 50 kb	140
Num Contigs > 20 kb	536
Num Contigs > 10 kb	976
Num Contigs > 5 kb	1690
Num Contigs > 2.5 kb	3176
Longest Contig	175216
Shortest Contig	223
Num Genes (prodigal)	66215
L50	851
L75	4236
L90	11655
N50	11948
N75	1891
N90	681
