contigs_db	SRS098655-contigs-fixed
Total Length	115607110
Num Contigs	64442
Num Contigs > 100 kb	11
Num Contigs > 50 kb	120
Num Contigs > 20 kb	846
Num Contigs > 10 kb	2122
Num Contigs > 5 kb	4071
Num Contigs > 2.5 kb	7614
Longest Contig	129122
Shortest Contig	205
Num Genes (prodigal)	149661
L50	3426
L75	15199
L90	36482
N50	6109
N75	1263
N90	562
