contigs_db	SRS015217-contigs-fixed
Total Length	200662127
Num Contigs	127931
Num Contigs > 100 kb	9
Num Contigs > 50 kb	161
Num Contigs > 20 kb	1300
Num Contigs > 10 kb	3368
Num Contigs > 5 kb	7095
Num Contigs > 2.5 kb	13990
Longest Contig	150640
Shortest Contig	203
Num Genes (prodigal)	277571
L50	7511
L75	31641
L90	75100
N50	4727
N75	1084
N90	482
