contigs_db	SRS015890-contigs-fixed
Total Length	134748148
Num Contigs	74864
Num Contigs > 100 kb	3
Num Contigs > 50 kb	63
Num Contigs > 20 kb	827
Num Contigs > 10 kb	2442
Num Contigs > 5 kb	5453
Num Contigs > 2.5 kb	10752
Longest Contig	124455
Shortest Contig	209
Num Genes (prodigal)	175254
L50	5107
L75	17978
L90	41888
N50	5311
N75	1393
N90	554
