contigs_db	SRS1041090-contigs-fixed
Total Length	84251626
Num Contigs	39072
Num Contigs > 100 kb	21
Num Contigs > 50 kb	125
Num Contigs > 20 kb	616
Num Contigs > 10 kb	1520
Num Contigs > 5 kb	3169
Num Contigs > 2.5 kb	5993
Longest Contig	181649
Shortest Contig	200
Num Genes (prodigal)	101999
L50	2109
L75	8249
L90	20263
N50	7421
N75	1755
N90	677
