contigs_db	SRS047433-contigs-fixed
Total Length	159893675
Num Contigs	82763
Num Contigs > 100 kb	12
Num Contigs > 50 kb	150
Num Contigs > 20 kb	1102
Num Contigs > 10 kb	2854
Num Contigs > 5 kb	5880
Num Contigs > 2.5 kb	11372
Longest Contig	208064
Shortest Contig	200
Num Genes (prodigal)	204912
L50	5136
L75	20722
L90	46921
N50	5770
N75	1384
N90	634
