contigs_db	C02_S111
Total Length	213821708
Num Contigs	53319
Num Contigs > 100 kb	108
Num Contigs > 50 kb	428
Num Contigs > 20 kb	1595
Num Contigs > 10 kb	3467
Num Contigs > 5 kb	7506
Num Contigs > 2.5 kb	16773
Longest Contig	403009
Shortest Contig	1000
Num Genes (prodigal)	227600
L50	4255
L75	17214
L90	35005
N50	8315
N75	2450
N90	1386
Archaea_76	2743
Bacteria_71	5338
Protista_83	252
Ribosomal_RNAs	106
archaea (Archaea_76)	1
eukarya (Protista_83)	0
bacteria (Bacteria_71)	73
