contigs_db	D03_S37
Total Length	83099520
Num Contigs	22957
Num Contigs > 100 kb	19
Num Contigs > 50 kb	105
Num Contigs > 20 kb	527
Num Contigs > 10 kb	1404
Num Contigs > 5 kb	3166
Num Contigs > 2.5 kb	7216
Longest Contig	659826
Shortest Contig	1000
Num Genes (prodigal)	90319
L50	2428
L75	8389
L90	15741
N50	6260
N75	2214
N90	1343
Archaea_76	1098
Bacteria_71	2148
Protista_83	107
Ribosomal_RNAs	55
archaea (Archaea_76)	0
bacteria (Bacteria_71)	30
eukarya (Protista_83)	0
