contigs_db	D03_S32
Total Length	181741505
Num Contigs	41061
Num Contigs > 100 kb	144
Num Contigs > 50 kb	454
Num Contigs > 20 kb	1267
Num Contigs > 10 kb	2710
Num Contigs > 5 kb	6249
Num Contigs > 2.5 kb	14376
Longest Contig	871959
Shortest Contig	1000
Num Genes (prodigal)	187739
L50	2905
L75	12496
L90	26051
N50	9369
N75	2816
N90	1494
Archaea_76	1855
Bacteria_71	3618
Protista_83	193
Ribosomal_RNAs	62
archaea (Archaea_76)	0
bacteria (Bacteria_71)	45
eukarya (Protista_83)	0
