contigs_db	D03_S28
Total Length	161903594
Num Contigs	41668
Num Contigs > 100 kb	96
Num Contigs > 50 kb	301
Num Contigs > 20 kb	1065
Num Contigs > 10 kb	2489
Num Contigs > 5 kb	5561
Num Contigs > 2.5 kb	12611
Longest Contig	674500
Shortest Contig	1000
Num Genes (prodigal)	173304
L50	3346
L75	13703
L90	27674
N50	7815
N75	2332
N90	1353
Archaea_76	1909
Bacteria_71	3751
Protista_83	186
Ribosomal_RNAs	86
bacteria (Bacteria_71)	47
eukarya (Protista_83)	0
archaea (Archaea_76)	0
