contigs_db	D03_S33
Total Length	219799810
Num Contigs	58710
Num Contigs > 100 kb	84
Num Contigs > 50 kb	321
Num Contigs > 20 kb	1305
Num Contigs > 10 kb	3358
Num Contigs > 5 kb	8277
Num Contigs > 2.5 kb	19522
Longest Contig	533999
Shortest Contig	1000
Num Genes (prodigal)	240417
L50	6110
L75	21146
L90	39828
N50	6359
N75	2343
N90	1376
Archaea_76	2599
Bacteria_71	5108
Protista_83	283
Ribosomal_RNAs	88
archaea (Archaea_76)	0
eukarya (Protista_83)	0
bacteria (Bacteria_71)	61
