contigs_db	C02_S104
Total Length	240246510
Num Contigs	59541
Num Contigs > 100 kb	107
Num Contigs > 50 kb	409
Num Contigs > 20 kb	1589
Num Contigs > 10 kb	3882
Num Contigs > 5 kb	9259
Num Contigs > 2.5 kb	21141
Longest Contig	461840
Shortest Contig	1000
Num Genes (prodigal)	258915
L50	5814
L75	20447
L90	39398
N50	7282
N75	2573
N90	1445
Archaea_76	2968
Bacteria_71	5785
Protista_83	303
Ribosomal_RNAs	94
bacteria (Bacteria_71)	76
eukarya (Protista_83)	0
archaea (Archaea_76)	0
