contigs_db	SRS015264-contigs-fixed
Total Length	152587024
Num Contigs	74925
Num Contigs > 100 kb	10
Num Contigs > 50 kb	121
Num Contigs > 20 kb	990
Num Contigs > 10 kb	2732
Num Contigs > 5 kb	5989
Num Contigs > 2.5 kb	11975
Longest Contig	197531
Shortest Contig	204
Num Genes (prodigal)	191232
L50	5168
L75	18489
L90	41687
N50	5750
N75	1570
N90	656
