contigs_db	SRS043667-contigs-fixed
Total Length	70195360
Num Contigs	30182
Num Contigs > 100 kb	14
Num Contigs > 50 kb	60
Num Contigs > 20 kb	441
Num Contigs > 10 kb	1326
Num Contigs > 5 kb	3161
Num Contigs > 2.5 kb	6021
Longest Contig	227035
Shortest Contig	231
Num Genes (prodigal)	80671
L50	2160
L75	6714
L90	15000
N50	6958
N75	2195
N90	755
