contigs_db	SRS017433-contigs-fixed
Total Length	136515974
Num Contigs	76079
Num Contigs > 100 kb	2
Num Contigs > 50 kb	66
Num Contigs > 20 kb	874
Num Contigs > 10 kb	2676
Num Contigs > 5 kb	5698
Num Contigs > 2.5 kb	10402
Longest Contig	113952
Shortest Contig	206
Num Genes (prodigal)	171879
L50	4713
L75	17065
L90	41880
N50	6065
N75	1383
N90	538
