contigs_db	SRS077392-contigs-fixed
Total Length	225874496
Num Contigs	176601
Num Contigs > 100 kb	14
Num Contigs > 50 kb	148
Num Contigs > 20 kb	1061
Num Contigs > 10 kb	2958
Num Contigs > 5 kb	6584
Num Contigs > 2.5 kb	14184
Longest Contig	235589
Shortest Contig	203
Num Genes (prodigal)	337167
L50	13463
L75	55737
L90	114222
N50	2618
N75	801
N90	437
