contigs_db	SRS015578-contigs-fixed
Total Length	196986098
Num Contigs	129519
Num Contigs > 100 kb	11
Num Contigs > 50 kb	141
Num Contigs > 20 kb	1146
Num Contigs > 10 kb	2940
Num Contigs > 5 kb	6267
Num Contigs > 2.5 kb	13245
Longest Contig	173283
Shortest Contig	200
Num Genes (prodigal)	278676
L50	8952
L75	37397
L90	79714
N50	3558
N75	1002
N90	507
