contigs_db	SRS019428-contigs-fixed
Total Length	105140034
Num Contigs	37565
Num Contigs > 100 kb	35
Num Contigs > 50 kb	235
Num Contigs > 20 kb	1204
Num Contigs > 10 kb	2414
Num Contigs > 5 kb	3863
Num Contigs > 2.5 kb	6113
Longest Contig	196920
Shortest Contig	202
Num Genes (prodigal)	119662
L50	1524
L75	5029
L90	15772
N50	16240
N75	3344
N90	788
