contigs_db	SRS017859-contigs-fixed
Total Length	80986635
Num Contigs	46294
Num Contigs > 100 kb	1
Num Contigs > 50 kb	49
Num Contigs > 20 kb	560
Num Contigs > 10 kb	1591
Num Contigs > 5 kb	3378
Num Contigs > 2.5 kb	6058
Longest Contig	101223
Shortest Contig	203
Num Genes (prodigal)	104220
L50	2629
L75	9727
L90	25390
N50	6445
N75	1337
N90	513
