contigs_db	SRS016018-contigs-fixed
Total Length	144860153
Num Contigs	56826
Num Contigs > 100 kb	12
Num Contigs > 50 kb	146
Num Contigs > 20 kb	1186
Num Contigs > 10 kb	3122
Num Contigs > 5 kb	6481
Num Contigs > 2.5 kb	11418
Longest Contig	148582
Shortest Contig	215
Num Genes (prodigal)	168669
L50	3646
L75	11395
L90	27459
N50	8753
N75	2507
N90	793
