contigs_db	SRS049446-contigs-fixed
Total Length	139684056
Num Contigs	55944
Num Contigs > 100 kb	46
Num Contigs > 50 kb	284
Num Contigs > 20 kb	1222
Num Contigs > 10 kb	2702
Num Contigs > 5 kb	5168
Num Contigs > 2.5 kb	9613
Longest Contig	299200
Shortest Contig	200
Num Genes (prodigal)	167680
L50	2575
L75	10048
L90	26341
N50	10448
N75	2379
N90	749
