contigs_db	SRS015431-contigs-fixed
Total Length	390868526
Num Contigs	260638
Num Contigs > 100 kb	6
Num Contigs > 50 kb	134
Num Contigs > 20 kb	1796
Num Contigs > 10 kb	6106
Num Contigs > 5 kb	14354
Num Contigs > 2.5 kb	29277
Longest Contig	185911
Shortest Contig	201
Num Genes (prodigal)	553837
L50	19530
L75	73978
L90	160026
N50	3713
N75	1005
N90	490
