contigs_db	SRS1041091-contigs-fixed
Total Length	130540139
Num Contigs	84035
Num Contigs > 100 kb	3
Num Contigs > 50 kb	67
Num Contigs > 20 kb	673
Num Contigs > 10 kb	1988
Num Contigs > 5 kb	4558
Num Contigs > 2.5 kb	9527
Longest Contig	128676
Shortest Contig	200
Num Genes (prodigal)	176849
L50	6271
L75	24102
L90	50899
N50	3701
N75	1055
N90	524
