contigs_db	SRS018427-contigs-fixed
Total Length	167337621
Num Contigs	125941
Num Contigs > 100 kb	1
Num Contigs > 50 kb	58
Num Contigs > 20 kb	828
Num Contigs > 10 kb	2356
Num Contigs > 5 kb	5041
Num Contigs > 2.5 kb	10879
Longest Contig	100781
Shortest Contig	205
Num Genes (prodigal)	241425
L50	10099
L75	40438
L90	81495
N50	2673
N75	840
N90	463
