contigs_db	SRS015663-contigs-fixed
Total Length	237518947
Num Contigs	125803
Num Contigs > 100 kb	15
Num Contigs > 50 kb	217
Num Contigs > 20 kb	1782
Num Contigs > 10 kb	4524
Num Contigs > 5 kb	9360
Num Contigs > 2.5 kb	17345
Longest Contig	182392
Shortest Contig	200
Num Genes (prodigal)	309823
L50	6990
L75	26627
L90	67940
N50	6654
N75	1491
N90	556
