contigs_db	SRS011302-contigs-fixed
Total Length	169192766
Num Contigs	112035
Num Contigs > 100 kb	10
Num Contigs > 50 kb	112
Num Contigs > 20 kb	881
Num Contigs > 10 kb	2445
Num Contigs > 5 kb	5651
Num Contigs > 2.5 kb	12138
Longest Contig	192273
Shortest Contig	204
Num Genes (prodigal)	239510
L50	8121
L75	31637
L90	68233
N50	3598
N75	1028
N90	493
