contigs_db	SRS016753-contigs-fixed
Total Length	81599339
Num Contigs	38638
Num Contigs > 100 kb	3
Num Contigs > 50 kb	45
Num Contigs > 20 kb	528
Num Contigs > 10 kb	1618
Num Contigs > 5 kb	3491
Num Contigs > 2.5 kb	6787
Longest Contig	128479
Shortest Contig	200
Num Genes (prodigal)	94282
L50	2704
L75	8839
L90	20062
N50	6325
N75	1849
N90	663
