contigs_db	SRS065397-contigs-fixed
Total Length	117975532
Num Contigs	62371
Num Contigs > 100 kb	8
Num Contigs > 50 kb	103
Num Contigs > 20 kb	841
Num Contigs > 10 kb	2044
Num Contigs > 5 kb	4367
Num Contigs > 2.5 kb	9023
Longest Contig	131573
Shortest Contig	200
Num Genes (prodigal)	149564
L50	3809
L75	14380
L90	34070
N50	5685
N75	1514
N90	581
