clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	91.39535	5.67636	15266731
k__Archaea	2157	8.60465	0.53442	943597
k__Bacteria|p__Firmicutes	2|1239	42.66851	2.65005	7173187
k__Bacteria|p__Bacteroidetes	2|976	18.34934	1.13964	3256857
k__Bacteria|p__Actinobacteria	2|201174	17.08936	1.06138	2393976
k__Bacteria|p__Verrucomicrobia	2|74201	11.88417	0.7381	2059914
k__Archaea|p__Euryarchaeota	2157|28890	8.60465	0.53442	943597
k__Bacteria|p__Proteobacteria	2|1224	1.0856	0.06742	312088
k__Bacteria|p__Synergistetes	2|508458	0.31837	0.01977	70709
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	33.59654	2.08661	5638381
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	18.34934	1.13964	3256857
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae	2|74201|203494	11.88417	0.7381	2059914
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	9.46554	0.58788	1312265
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	8.60465	0.53442	943597
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	7.62382	0.4735	1081711
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	7.22567	0.44877	1087968
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	1.22618	0.07616	344532
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.8528	0.05297	272602
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.32397	0.02012	59627
k__Bacteria|p__Synergistetes|c__Synergistia	2|508458|649775	0.31837	0.01977	70709
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.29554	0.01836	42606
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.2328	0.01446	39486
k__Bacteria|p__Firmicutes|c__Tissierellia	2|1239|1737404	0.00063	4e-05	73
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	33.59654	2.08661	5638381
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	18.34934	1.13964	3256857
k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales	2|74201|203494|48461	11.88417	0.7381	2059914
