clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	98.20957	3.81085	11844973
k__Archaea	2157	1.79043	0.06947	122789
k__Bacteria|p__Firmicutes	2|1239	75.94273	2.94682	9022003
k__Bacteria|p__Bacteroidetes	2|976	16.47721	0.63937	2289009
k__Bacteria|p__Actinobacteria	2|201174	4.50154	0.17467	395958
k__Archaea|p__Euryarchaeota	2157|28890	1.79043	0.06947	122789
k__Bacteria|p__Proteobacteria	2|1224	1.28808	0.04998	138003
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	56.97112	2.21066	6348559
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	16.47721	0.63937	2289009
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	9.77215	0.37919	1787200
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	6.66288	0.25854	627373
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	2.48285	0.09634	254839
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	2.2858	0.0887	197869
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	2.21574	0.08598	198089
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	1.79043	0.06947	122789
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	1.21056	0.04697	127025
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	0.05372	0.00208	4032
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria	2|1224|28216	0.04915	0.00191	5400
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.02838	0.0011	5578
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	56.97112	2.21066	6348559
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	16.47721	0.63937	2289009
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales	2|1239|526524|526525	9.77215	0.37919	1787200
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	6.66288	0.25854	627373
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	2|1239|91061|186826	2.48285	0.09634	254839
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	2|201174|1760|85004	2.2858	0.0887	197869
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales	2157|28890|183925|2158	1.79043	0.06947	122789
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	1.43063	0.05551	121539
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales	2|1224|28221|213115	1.21056	0.04697	127025
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.78512	0.03047	76550
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales	2|1224|28216|80840	0.04915	0.00191	5400
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales	2|1239|909932|1843489	0.03225	0.00125	2127
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales	2|1224|1236|91347	0.02838	0.0011	5578
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	2|1239|909932|1843488	0.02148	0.00083	1905
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae	2|1239|186801|186802|186803	25.43262	0.98687	3233839
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae	2|1239|186801|186802|541000	20.44617	0.79338	2224650
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	2|976|200643|171549|171552	15.82973	0.61424	2163929
k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae	2|1239|526524|526525|128827	9.77215	0.37919	1787200
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae	2|1239|186801|186802|186806	8.45647	0.32814	659451
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified|f__Firmicutes_unclassified	2|1239|||	6.66288	0.25854	627373
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	2|201174|1760|85004|31953	2.2858	0.0887	197869
k__Archaea|p__Euryarchaeota|c__Methanobacteria|o__Methanobacteriales|f__Methanobacteriaceae	2157|28890|183925|2158|2159	1.79043	0.06947	122789
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae	2|1239|186801|186802|31979	1.56518	0.06073	160189
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae	2|1239|91061|186826|81852	1.46307	0.05677	168435
