clade_name	clade_taxid	relative_abundance	coverage	estimated_number_of_reads_from_the_clade
k__Bacteria	2	99.75937	5.4873	16365912
k__Archaea	2157	0.24063	0.01324	23393
k__Bacteria|p__Firmicutes	2|1239	69.21274	3.80707	10945441
k__Bacteria|p__Bacteroidetes	2|976	28.33439	1.55854	5049647
k__Bacteria|p__Actinobacteria	2|201174	1.58782	0.08734	201751
k__Bacteria|p__Proteobacteria	2|1224	0.62441	0.03435	169073
k__Archaea|p__Euryarchaeota	2157|28890	0.24063	0.01324	23393
k__Bacteria|p__Firmicutes|c__Clostridia	2|1239|186801	58.77162	3.23275	9485934
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	28.33439	1.55854	5049647
k__Bacteria|p__Firmicutes|c__Negativicutes	2|1239|909932	4.77469	0.26263	599970
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified	2|1239|	3.84784	0.21165	483230
k__Bacteria|p__Firmicutes|c__Erysipelotrichia	2|1239|526524	1.74211	0.09583	366079
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	1.58676	0.08728	201617
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria	2|1224|1236	0.61766	0.03397	167443
k__Archaea|p__Euryarchaeota|c__Methanobacteria	2157|28890|183925	0.24063	0.01324	23393
k__Bacteria|p__Firmicutes|c__Bacilli	2|1239|91061	0.07648	0.00421	10228
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria	2|1224|28221	0.00675	0.00037	1630
k__Bacteria|p__Actinobacteria|c__Actinobacteria	2|201174|1760	0.00106	6e-05	134
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales	2|1239|186801|186802	58.77162	3.23275	9485934
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	28.33439	1.55854	5049647
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales	2|1239|909932|1843488	4.75194	0.26138	597789
k__Bacteria|p__Firmicutes|c__Firmicutes_unclassified|o__Firmicutes_unclassified	2|1239||	3.84784	0.21165	483230
