"species","amr_intercept_beta","amr_intercept_se","amr_intercept_tvalue","amr_intercept_pvalues","amr_dairy_beta","amr_dairy_se","amr_dairy_tvalue","amr_dairy_pvalues","amr_age_beta","amr_age_se","amr_age_tvalue","amr_age_pvalues","amr_qvalue_dairy"
"fluoroquinolone",20.7695386480668,20.8544770751038,0.995927089097894,0.337462759961194,-19.1662335269312,8.47868512435974,-2.26051955531001,0.041591276872618,-0.319034798466192,0.371213627205657,-0.859437194878201,0.405669140772859,0.479916024973573
"tetracycline",18.4943628256816,18.8231922665067,0.982530623064917,0.343771614254202,2.68329716306637,2.6924775393018,0.996590361070268,0.337152577315999,0.00868143261727561,0.383154790690284,0.0226577686830832,0.982267353907522,1
"glycopeptide",8.74629905029029,12.809894832918,0.682776803741952,0.506733448306367,-5.13942573201347,6.54691124604385,-0.785015336066928,0.446515451831622,-0.464961059349657,0.201571609027719,-2.30667930663647,0.0381825343047179,1
"aminoglycoside",22.5939817998275,13.7759517077673,1.64010315070199,0.124944324258058,-3.11461184070294,4.44769514437532,-0.700275477432793,0.49609747194506,-0.092526583087234,0.277762629831239,-0.33311386468169,0.74435953392866,1
"sulfonamide",-21.6023400664053,13.2510402905925,-1.63023729402903,0.127029395338553,1.59212799042367,3.0590160087038,0.520470630390163,0.611485555607288,0.150067206125823,0.343005554265409,0.437506635853787,0.668924488461363,1
"cephamycin",31.2299598629814,24.9720901047031,1.25059455304062,0.233124011671042,5.40155570799017,11.500440518812,0.469682504696624,0.646362663984665,-0.514479714371324,0.473507797201608,-1.08652849522617,0.296981564175598,1
"macrolide",-0.791682888160623,21.6559809226358,-0.0365572398215921,0.971393438470783,3.97752515338144,8.84204586106316,0.449842176333519,0.660233591882348,0.245464687640668,0.371218862748546,0.66123980291093,0.520006309518771,1
"cephalosporin",18.4754417703271,20.1413673313686,0.917288358151981,0.37569575142097,4.05777589145007,10.0623722741013,0.403262350161108,0.693309240922441,-0.66005327959008,0.330976810936181,-1.99425838240176,0.0675308292044894,1
