contigs_db	D03_S35
Total Length	208819562
Num Contigs	57130
Num Contigs > 100 kb	70
Num Contigs > 50 kb	251
Num Contigs > 20 kb	1180
Num Contigs > 10 kb	3350
Num Contigs > 5 kb	8324
Num Contigs > 2.5 kb	19096
Longest Contig	311473
Shortest Contig	1000
Num Genes (prodigal)	229823
L50	6475
L75	21160
L90	39146
N50	6071
N75	2288
N90	1367
Archaea_76	2898
Bacteria_71	5593
Protista_83	321
Ribosomal_RNAs	112
bacteria (Bacteria_71)	80
archaea (Archaea_76)	1
eukarya (Protista_83)	0
