contigs_db	D03_S31
Total Length	136004078
Num Contigs	31076
Num Contigs > 100 kb	65
Num Contigs > 50 kb	272
Num Contigs > 20 kb	1117
Num Contigs > 10 kb	2543
Num Contigs > 5 kb	5211
Num Contigs > 2.5 kb	10605
Longest Contig	317951
Shortest Contig	1000
Num Genes (prodigal)	143979
L50	2509
L75	9307
L90	19674
N50	10186
N75	2829
N90	1454
Archaea_76	1709
Bacteria_71	3372
Protista_83	171
Ribosomal_RNAs	60
archaea (Archaea_76)	0
eukarya (Protista_83)	0
bacteria (Bacteria_71)	46
