contigs_db	C02_S106
Total Length	211105797
Num Contigs	47895
Num Contigs > 100 kb	179
Num Contigs > 50 kb	483
Num Contigs > 20 kb	1487
Num Contigs > 10 kb	3241
Num Contigs > 5 kb	7320
Num Contigs > 2.5 kb	15832
Longest Contig	863095
Shortest Contig	1000
Num Genes (prodigal)	223043
L50	3190
L75	13894
L90	30125
N50	10138
N75	2808
N90	1442
Archaea_76	2540
Bacteria_71	4911
Protista_83	289
Ribosomal_RNAs	97
eukarya (Protista_83)	0
bacteria (Bacteria_71)	67
archaea (Archaea_76)	1
