contigs_db	D03_S27
Total Length	105369606
Num Contigs	24316
Num Contigs > 100 kb	65
Num Contigs > 50 kb	246
Num Contigs > 20 kb	772
Num Contigs > 10 kb	1656
Num Contigs > 5 kb	3525
Num Contigs > 2.5 kb	7953
Longest Contig	772412
Shortest Contig	1000
Num Genes (prodigal)	110555
L50	1654
L75	7304
L90	15518
N50	10027
N75	2684
N90	1456
Archaea_76	1191
Bacteria_71	2292
Protista_83	125
Ribosomal_RNAs	49
eukarya (Protista_83)	0
archaea (Archaea_76)	0
bacteria (Bacteria_71)	31
