contigs_db	SRS076876-contigs-fixed
Total Length	36644359
Num Contigs	16255
Num Contigs > 100 kb	11
Num Contigs > 50 kb	90
Num Contigs > 20 kb	371
Num Contigs > 10 kb	685
Num Contigs > 5 kb	1163
Num Contigs > 2.5 kb	2091
Longest Contig	223804
Shortest Contig	202
Num Genes (prodigal)	45245
L50	533
L75	2432
L90	7553
N50	13612
N75	2075
N90	631
