contigs_db	SRS055966-contigs-fixed
Total Length	59542472
Num Contigs	22445
Num Contigs > 100 kb	42
Num Contigs > 50 kb	217
Num Contigs > 20 kb	686
Num Contigs > 10 kb	1133
Num Contigs > 5 kb	1614
Num Contigs > 2.5 kb	2553
Longest Contig	340799
Shortest Contig	208
Num Genes (prodigal)	69629
L50	579
L75	2347
L90	9465
N50	24082
N75	2774
N90	711
