contigs_db	SRS077589-contigs-fixed
Total Length	86880786
Num Contigs	38941
Num Contigs > 100 kb	6
Num Contigs > 50 kb	82
Num Contigs > 20 kb	722
Num Contigs > 10 kb	1744
Num Contigs > 5 kb	3524
Num Contigs > 2.5 kb	6613
Longest Contig	119540
Shortest Contig	209
Num Genes (prodigal)	102404
L50	2254
L75	7926
L90	19439
N50	7881
N75	2020
N90	684
