contigs_db	SRS017701-contigs-fixed
Total Length	140830979
Num Contigs	81678
Num Contigs > 100 kb	5
Num Contigs > 50 kb	87
Num Contigs > 20 kb	812
Num Contigs > 10 kb	2546
Num Contigs > 5 kb	5568
Num Contigs > 2.5 kb	10925
Longest Contig	144232
Shortest Contig	209
Num Genes (prodigal)	181872
L50	5269
L75	19281
L90	45764
N50	5253
N75	1324
N90	521
