contigs_db	SRS018313-contigs-fixed
Total Length	93911470
Num Contigs	68732
Num Contigs > 100 kb	3
Num Contigs > 50 kb	72
Num Contigs > 20 kb	616
Num Contigs > 10 kb	1453
Num Contigs > 5 kb	2889
Num Contigs > 2.5 kb	5604
Longest Contig	140693
Shortest Contig	200
Num Genes (prodigal)	136362
L50	3855
L75	19315
L90	43042
N50	3647
N75	837
N90	446
