contigs_db	SRS049900-contigs-fixed
Total Length	85737434
Num Contigs	76842
Num Contigs > 100 kb	0
Num Contigs > 50 kb	1
Num Contigs > 20 kb	46
Num Contigs > 10 kb	447
Num Contigs > 5 kb	2188
Num Contigs > 2.5 kb	6996
Longest Contig	52670
Shortest Contig	214
Num Genes (prodigal)	133133
L50	10915
L75	30155
L90	53124
N50	1783
N75	738
N90	435
