contigs_db	SRS016989-contigs-fixed
Total Length	110753812
Num Contigs	63866
Num Contigs > 100 kb	10
Num Contigs > 50 kb	61
Num Contigs > 20 kb	632
Num Contigs > 10 kb	1924
Num Contigs > 5 kb	4181
Num Contigs > 2.5 kb	8356
Longest Contig	172562
Shortest Contig	206
Num Genes (prodigal)	140106
L50	4374
L75	16476
L90	36680
N50	4776
N75	1278
N90	557
