contigs_db	SRS013638-contigs-fixed
Total Length	146564281
Num Contigs	91976
Num Contigs > 100 kb	16
Num Contigs > 50 kb	132
Num Contigs > 20 kb	826
Num Contigs > 10 kb	2189
Num Contigs > 5 kb	5052
Num Contigs > 2.5 kb	10986
Longest Contig	197363
Shortest Contig	220
Num Genes (prodigal)	192890
L50	6045
L75	23240
L90	53399
N50	4265
N75	1174
N90	490
