contigs_db	SRS046068-contigs-fixed
Total Length	73888125
Num Contigs	29859
Num Contigs > 100 kb	30
Num Contigs > 50 kb	152
Num Contigs > 20 kb	709
Num Contigs > 10 kb	1565
Num Contigs > 5 kb	2792
Num Contigs > 2.5 kb	4721
Longest Contig	196364
Shortest Contig	200
Num Genes (prodigal)	86124
L50	1245
L75	4506
L90	13262
N50	12692
N75	2672
N90	693
