contigs_db	SRS020233-contigs-fixed
Total Length	296928221
Num Contigs	217872
Num Contigs > 100 kb	2
Num Contigs > 50 kb	85
Num Contigs > 20 kb	1154
Num Contigs > 10 kb	4100
Num Contigs > 5 kb	10466
Num Contigs > 2.5 kb	22278
Longest Contig	122548
Shortest Contig	216
Num Genes (prodigal)	429213
L50	17587
L75	65208
L90	137245
N50	3139
N75	891
N90	453
