contigs_db	SRS893373-contigs-fixed
Total Length	149827004
Num Contigs	98490
Num Contigs > 100 kb	7
Num Contigs > 50 kb	83
Num Contigs > 20 kb	747
Num Contigs > 10 kb	2203
Num Contigs > 5 kb	5144
Num Contigs > 2.5 kb	10394
Longest Contig	202588
Shortest Contig	203
Num Genes (prodigal)	204127
L50	7355
L75	29291
L90	60929
N50	3490
N75	1005
N90	521
