contigs_db	SRS019693-contigs-fixed
Total Length	93572959
Num Contigs	55583
Num Contigs > 100 kb	38
Num Contigs > 50 kb	199
Num Contigs > 20 kb	690
Num Contigs > 10 kb	1394
Num Contigs > 5 kb	2588
Num Contigs > 2.5 kb	5055
Longest Contig	206133
Shortest Contig	201
Num Genes (prodigal)	129483
L50	2098
L75	12699
L90	31944
N50	6288
N75	1101
N90	515
