contigs_db	SRS015960-contigs-fixed
Total Length	148643102
Num Contigs	88816
Num Contigs > 100 kb	11
Num Contigs > 50 kb	84
Num Contigs > 20 kb	862
Num Contigs > 10 kb	2656
Num Contigs > 5 kb	5911
Num Contigs > 2.5 kb	11229
Longest Contig	220786
Shortest Contig	203
Num Genes (prodigal)	195995
L50	5651
L75	21334
L90	51003
N50	5230
N75	1199
N90	513
