contigs_db	SRS019601-contigs-fixed
Total Length	166529193
Num Contigs	110428
Num Contigs > 100 kb	2
Num Contigs > 50 kb	52
Num Contigs > 20 kb	706
Num Contigs > 10 kb	2438
Num Contigs > 5 kb	5660
Num Contigs > 2.5 kb	12642
Longest Contig	123799
Shortest Contig	200
Num Genes (prodigal)	228314
L50	9381
L75	33267
L90	68020
N50	3238
N75	1050
N90	509
