clade_name	clade_taxid	profiled_HDW-D03-S37	profiled_HDW-D03-S35	profiled_HDW-D03-S34	profiled_HDW-D03-S33	profiled_HDW-D03-S32	profiled_HDW-D03-S31	profiled_HDW-D03-S28	profiled_HDW-D03-S27	profiled_HDW-D03-S26	profiled_HDW-D03-S25	profiled_HDW-C02-S115	profiled_HDW-C02-S113	profiled_HDW-C02-S112	profiled_HDW-C02-S111	profiled_HDW-C02-S106	profiled_HDW-C02-S104
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae	2|1224|1236|91347|543	0.28481	0.02838	0.00563	0.00157	0.02608	0.01562	0	0.00527	0	0.01707	0	0.95805	0.8528	9.33671	0.01638	0.56476
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Citrobacter	2|1224|1236|91347|543|544	0	0	0	0.00157	0	0	0	0	0	0	0	0	0	0	0	0.11106
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Citrobacter|s__Citrobacter_braakii	2|1224|1236|91347|543|544|57706	0	0	0	0.00157	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Citrobacter|s__Citrobacter_freundii	2|1224|1236|91347|543|544|546	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10142
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Citrobacter|s__Citrobacter_youngae	2|1224|1236|91347|543|544|133448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00964
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Enterobacter	2|1224|1236|91347|543|547	0	0.00223	0	0	0	0.01562	0	0	0	0	0	0.00792	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Enterobacter|s__Enterobacter_cloacae_complex	2|1224|1236|91347|543|547|354276	0	0.00223	0	0	0	0	0	0	0	0	0	0.00792	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Enterobacter|s__Enterobacter_mori	2|1224|1236|91347|543|547|539813	0	0	0	0	0	0.01562	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia	2|1224|1236|91347|543|561	0.27501	0.02615	0.00563	0	0.02608	0	0	0	0	0.00754	0	0.85086	0.83549	9.33671	0.01638	0.42196
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_coli	2|1224|1236|91347|543|561|562	0.27501	0.02615	0.00563	0	0.02608	0	0	0	0	0.00754	0	0.85086	0.83549	9.33671	0.01638	0.42196
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Klebsiella	2|1224|1236|91347|543|570	0.0098	0	0	0	0	0	0	0.00527	0	0.00953	0	0.09927	0.01731	0	0	0.03173
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Klebsiella|s__Klebsiella_aerogenes	2|1224|1236|91347|543|570|548	0	0	0	0	0	0	0	0.00527	0	0	0	0.0758	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Klebsiella|s__Klebsiella_michiganensis	2|1224|1236|91347|543|570|1134687	0	0	0	0	0	0	0	0	0	0	0	0	0.01731	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Klebsiella|s__Klebsiella_oxytoca	2|1224|1236|91347|543|570|571	0	0	0	0	0	0	0	0	0	0.00953	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Klebsiella|s__Klebsiella_pneumoniae	2|1224|1236|91347|543|570|573	0.0098	0	0	0	0	0	0	0	0	0	0	0.01948	0	0	0	0.03173
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Klebsiella|s__Klebsiella_quasipneumoniae	2|1224|1236|91347|543|570|1463165	0	0	0	0	0	0	0	0	0	0	0	0.00195	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Klebsiella|s__Klebsiella_variicola	2|1224|1236|91347|543|570|244366	0	0	0	0	0	0	0	0	0	0	0	0.00204	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales	2|1224|1236|135625	0.09162	0	0	0.07668	0.0019	0.16841	0	0.23274	0.01485	0.03117	0	0.45463	0	0	0.05667	0.0529
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae	2|1224|1236|135625|712	0.09162	0	0	0.07668	0.0019	0.16841	0	0.23274	0.01485	0.03117	0	0.45463	0	0	0.05667	0.0529
