clade_name	clade_taxid	profiled_HDW-D03-S37	profiled_HDW-D03-S35	profiled_HDW-D03-S34	profiled_HDW-D03-S33	profiled_HDW-D03-S32	profiled_HDW-D03-S31	profiled_HDW-D03-S28	profiled_HDW-D03-S27	profiled_HDW-D03-S26	profiled_HDW-D03-S25	profiled_HDW-C02-S115	profiled_HDW-C02-S113	profiled_HDW-C02-S112	profiled_HDW-C02-S111	profiled_HDW-C02-S106	profiled_HDW-C02-S104
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_ICM47	2|201174|1760|2037|2049|1654|936548	0	0	0	0	0	0	0	0	0	0	0	0.00331	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_sp_oral_taxon_448	2|201174|1760|2037|2049|1654|712124	0	0	0	0	0	0	0	0	0	0	0	0	0.00911	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales	2|201174|1760|85004	2.46485	2.2858	0.56642	0.86513	0.04936	0.97092	7.70142	7.76509	0.04226	1.79777	0.66663	1.55677	7.6057	0.54322	4.31865	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae	2|201174|1760|85004|31953	2.46485	2.2858	0.56642	0.86513	0.04936	0.97092	7.70142	7.76509	0.04226	1.79777	0.66663	1.55677	7.6057	0.54322	4.31865	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Alloscardovia	2|201174|1760|85004|31953|419014	0	0	0	0	0	0	0	0	0	0	0	0.01749	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Alloscardovia|s__Alloscardovia_omnicolens	2|201174|1760|85004|31953|419014|419015	0	0	0	0	0	0	0	0	0	0	0	0.01749	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium	2|201174|1760|85004|31953|1678	2.46485	2.2858	0.56642	0.86513	0.04936	0.97092	7.70142	7.76509	0.04226	1.79777	0.66663	1.53928	7.6057	0.54322	4.31865	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_adolescentis	2|201174|1760|85004|31953|1678|1680	1.02305	1.82045	0.47669	0.71212	0	0.88159	4.18381	0.12842	0.02258	1.22169	0.66663	0.16904	4.58118	0.14661	2.16463	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_animalis	2|201174|1760|85004|31953|1678|28025	0	0	0	0	0	0	0	0	0.01968	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_bifidum	2|201174|1760|85004|31953|1678|1681	0.96741	0	0	0	0	0	1.81171	0	0	0	0	0.94316	0	0	0.20731	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_catenulatum	2|201174|1760|85004|31953|1678|1686	0.00678	0.08189	0	0.03632	0	0	0.06804	0	0	0.56092	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_dentium	2|201174|1760|85004|31953|1678|1689	0	0	0	0	0	0	0	0	0	0.00249	0	0	0.02141	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum	2|201174|1760|85004|31953|1678|216816	0.46762	0.28519	0.08973	0.08852	0.04936	0.08934	1.63786	0.84144	0	0.01268	0	0.42708	3.00311	0.3966	1.94671	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_pseudocatenulatum	2|201174|1760|85004|31953|1678|28026	0	0.09828	0	0.02818	0	0	0	6.79523	0	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales	2|201174|1760|85007	0	0	0	0	0	0	0	0	0	0.07197	0	0	0.00191	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae	2|201174|1760|85007|1653	0	0	0	0	0	0	0	0	0	0.07197	0	0	0.00191	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium	2|201174|1760|85007|1653|1716	0	0	0	0	0	0	0	0	0	0.07197	0	0	0.00191	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_amycolatum	2|201174|1760|85007|1653|1716|43765	0	0	0	0	0	0	0	0	0	0	0	0	0.00191	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae|g__Corynebacterium|s__Corynebacterium_argentoratense	2|201174|1760|85007|1653|1716|42817	0	0	0	0	0	0	0	0	0	0.07197	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales	2|201174|1760|85006	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00106
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae	2|201174|1760|85006|1268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00106
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae|g__Rothia	2|201174|1760|85006|1268|32207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00106
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae|g__Rothia|s__Rothia_mucilaginosa	2|201174|1760|85006|1268|32207|43675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00106
k__Bacteria|p__Actinobacteria|c__Coriobacteriia	2|201174|84998	1.17234	2.21574	2.37975	6.5627	0.54632	2.64204	2.04722	0.98061	1.02213	2.60339	7.45306	3.531	9.46554	2.18482	0.54229	1.58676
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales	2|201174|84998|84999	0.88505	1.43063	2.1174	4.71582	0.36153	2.46975	1.69744	0.5643	0.96135	2.43238	7.20492	2.8789	8.76605	1.89473	0.40142	1.05634
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae	2|201174|84998|84999|1643824	0.0244	0	0	0	0	0	0	0	0	0.00119	0	0.00666	0.12288	0	0	0.00197
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Atopobium	2|201174|84998|84999|1643824|1380	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00197
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Atopobium|s__Atopobium_deltae	2|201174|84998|84999|1643824|1380|1393034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00197
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Olsenella	2|201174|84998|84999|1643824|133925	0.0244	0	0	0	0	0	0	0	0	0.00119	0	0.00666	0.12288	0	0	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Atopobiaceae|g__Olsenella|s__Olsenella_scatoligenes	2|201174|84998|84999|1643824|133925|1299998	0.0244	0	0	0	0	0	0	0	0	0.00119	0	0.00666	0.12288	0	0	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae	2|201174|84998|84999|84107	0.86066	1.43063	2.1174	4.71582	0.36153	2.46975	1.69744	0.5643	0.96135	2.43119	7.20492	2.87224	8.64316	1.89473	0.40142	1.05437
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella	2|201174|84998|84999|84107|102106	0.86066	1.43063	2.1174	4.71455	0.36153	2.46975	1.69744	0.5643	0.96135	2.43119	7.20492	2.87224	8.6407	1.89473	0.40142	1.05437
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_aerofaciens	2|201174|84998|84999|84107|102106|74426	0.86066	1.42324	2.11376	4.69307	0.36153	2.46605	1.69388	0.56342	0.96007	2.41565	7.18544	2.8636	8.60729	1.87681	0.4006	1.05402
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_intestinalis	2|201174|84998|84999|84107|102106|147207	0	0	0	0	0	0.00058	0	0	0	0	0	0	0.00251	0	0	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_stercoris	2|201174|84998|84999|84107|102106|147206	0	0.00739	0.00364	0.02148	0	0.00312	0.00356	0.00088	0.00128	0.01553	0.01949	0.00864	0.0309	0.01792	0.00082	0.00035
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Enorma	2|201174|84998|84999|84107|1472762	0	0	0	0.00127	0	0	0	0	0	0	0	0	0.00246	0	0	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Enorma|s__Collinsella_massiliensis	2|201174|84998|84999|84107|1472762|1232426	0	0	0	0.00127	0	0	0	0	0	0	0	0	0.00246	0	0	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales	2|201174|84998|1643822	0.28729	0.78512	0.26235	1.84688	0.18479	0.17229	0.34978	0.41631	0.06078	0.17101	0.24813	0.65211	0.69949	0.29008	0.14087	0.53042
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae	2|201174|84998|1643822|1643826	0.28729	0.78512	0.26235	1.84688	0.18479	0.17229	0.34978	0.41631	0.06078	0.17101	0.24813	0.65211	0.69949	0.29008	0.14087	0.53042
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Adlercreutzia	2|201174|84998|1643822|1643826|447020	0	0.011	0	0.0262	0	0.04361	0.05406	0	0	0.01122	0	0.02097	0.1932	0.00073	0	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Adlercreutzia|s__Adlercreutzia_equolifaciens	2|201174|84998|1643822|1643826|447020|446660	0	0.011	0	0.0262	0	0.04361	0.05406	0	0	0.01122	0	0.02097	0.1932	0.00073	0	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Asaccharobacter	2|201174|84998|1643822|1643826|553372	0	0.00584	0.00025	0.01937	0	0.01512	0.08779	0	0	0.01766	0	0.01157	0.17303	0.00065	0	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Asaccharobacter|s__Asaccharobacter_celatus	2|201174|84998|1643822|1643826|553372|394340	0	0.00584	0.00025	0.01937	0	0.01512	0.08779	0	0	0.01766	0	0.01157	0.17303	0.00065	0	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Eggerthella	2|201174|84998|1643822|1643826|84111	0	0	0	0	0	0	0.02576	0.00655	0	0	0	0.004	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Eggerthella|s__Eggerthella_lenta	2|201174|84998|1643822|1643826|84111|84112	0	0	0	0	0	0	0.02576	0.00655	0	0	0	0.004	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Enterorhabdus	2|201174|84998|1643822|1643826|580024	0	0	0	0	0	0	0.00467	0	0	0	0	0	0.00075	0	0	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Enterorhabdus|s__Enterorhabdus_caecimuris	2|201174|84998|1643822|1643826|580024|671266	0	0	0	0	0	0	0.00467	0	0	0	0	0	0.00075	0	0	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Gordonibacter	2|201174|84998|1643822|1643826|644652	0	0.00105	0	0	0.00029	0	0.00149	0	0	0	0	0.08206	0	0	0.01749	0.03183
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Gordonibacter|s__Gordonibacter_pamelaeae	2|201174|84998|1643822|1643826|644652|471189	0	0.00105	0	0	0.00029	0	0.00149	0	0	0	0	0.08206	0	0	0.01749	0.03183
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Slackia	2|201174|84998|1643822|1643826|84108	0.28729	0.76723	0.2621	1.80131	0.1845	0.11356	0.17601	0.40976	0.06078	0.14213	0.24813	0.5335	0.33252	0.28871	0.12338	0.4986
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Slackia|s__Slackia_exigua	2|201174|84998|1643822|1643826|84108|84109	0	0	0	0	0	0	0	0	0.06078	0	0	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Eggerthellales|f__Eggerthellaceae|g__Slackia|s__Slackia_isoflavoniconvertens	2|201174|84998|1643822|1643826|84108|572010	0.28729	0.76723	0.2621	1.80131	0.1845	0.11356	0.17601	0.40976	0	0.14213	0.24813	0.5335	0.33252	0.28871	0.12338	0.4986
k__Bacteria|p__Bacteroidetes	2|976	71.89958	16.47721	36.88509	6.75947	64.51193	24.52221	41.29545	44.35133	66.22155	19.13472	11.01571	8.8329	18.34934	42.42236	29.02429	28.33439
k__Bacteria|p__Bacteroidetes|c__Bacteroidia	2|976|200643	71.89958	16.47721	36.88509	6.75947	64.51193	24.52221	41.29545	44.35133	66.22155	19.13472	11.01571	8.8329	18.34934	42.42236	29.02429	28.33439
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales	2|976|200643|171549	71.89958	16.47721	36.88509	6.75947	64.51193	24.52221	41.29545	44.35133	66.22155	19.13472	11.01571	8.8329	18.34934	42.42236	29.02429	28.33439
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae	2|976|200643|171549|815	1.32012	0.17908	0.50838	0.52679	29.74164	1.09827	8.34511	37.34513	39.96878	2.88933	0.16766	4.01218	1.51121	24.44974	18.36988	1.83844
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides	2|976|200643|171549|815|816	1.32012	0.17908	0.50838	0.52679	29.74164	1.09827	8.34511	37.34513	39.96878	2.88933	0.16766	4.01218	1.51121	24.44974	18.36988	1.83844
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_caccae	2|976|200643|171549|815|816|47678	0.03477	0	0	0	0	0	0.4957	0	3.01419	0	0	0.59105	0.32571	0.11577	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_cellulosilyticus	2|976|200643|171549|815|816|246787	0	0	0	0	0	0	0	0	0	0	0	0.023	0.00296	0	0	0.36538
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_clarus	2|976|200643|171549|815|816|626929	0	0	0	0	0.83514	0	0.0005	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_coprophilus	2|976|200643|171549|815|816|387090	0.61206	0	0	0	0	0.05437	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_dorei	2|976|200643|171549|815|816|357276	0	0	0	0	8.4277	0	0	0	0	0	0	0	0.29971	0.24468	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_eggerthii	2|976|200643|171549|815|816|28111	0	0	0	0	0	0	0.29206	0	0	0	0	0	0.14844	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_faecis	2|976|200643|171549|815|816|674529	0	0	0	0.01069	0	0	0.27482	0	0	0	0	0	0.05736	0	0.12513	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_faecis_CAG_32	2|976|200643|171549|815|816|1263044	0	0	0	0	0	0	0.38498	0	0	0	0	0	0	0	0.06207	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_finegoldii	2|976|200643|171549|815|816|338188	0	0	0	0	0.11198	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_fragilis	2|976|200643|171549|815|816|817	0	0	0	0	0.00673	0	0	0	0	0.11011	0	0	0	0	0.0084	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_galacturonicus	2|976|200643|171549|815|816|384639	0	0	0	0	0	0.03271	0	0	0	0	0.00147	0	0.00382	0	0.02557	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_intestinalis	2|976|200643|171549|815|816|329854	0	0	0	0	2.0268	0	0.00189	0	0	0	0	0	0	0	4.24406	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_massiliensis	2|976|200643|171549|815|816|204516	0	0	0	0	0	0	0.12808	2.0488	0	0	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_nordii	2|976|200643|171549|815|816|291645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00477	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_ovatus	2|976|200643|171549|815|816|28116	0.02042	0.00939	0.10105	0.03242	0.04737	0.00805	0.4154	7.66272	8.01033	0.03989	0	0.32873	0.06324	1.00113	0.73185	0.1842
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_plebeius	2|976|200643|171549|815|816|310297	0	0	0	0	0	0	0	0	0	0	0	0	0	11.56019	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_salyersiae	2|976|200643|171549|815|816|291644	0	0	0	0	0.16389	0	0	0	0	0	0	0	0	0.03638	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_sp_CAG_530	2|976|200643|171549|815|816|1262741	0	0.00168	0	0.06036	0	0	0	0	0	0.72976	0.05068	0	0	5.42479	0	0.18102
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_stercoris	2|976|200643|171549|815|816|46506	0.05789	0	0	0	0	0.27642	0	0	0	0	0	0.22544	0	3.02632	0	0.00102
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_thetaiotaomicron	2|976|200643|171549|815|816|818	0	0.01967	0	0	0.4888	0	0	1.38199	0.17095	0.01563	0	0.29823	0	0	0.10273	0.12639
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis	2|976|200643|171549|815|816|820	0.05795	0.10387	0.23188	0.39767	9.33356	0.04004	1.09511	0	12.9002	0.44313	0.11552	0.32064	0.52035	1.61263	1.60441	0.13131
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_vulgatus	2|976|200643|171549|815|816|821	0.53703	0.04023	0.15896	0.02566	5.42045	0.68669	5.20512	26.25161	15.47005	1.54882	0	2.03744	0.08855	1.42785	10.9081	0.56685
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_xylanisolvens	2|976|200643|171549|815|816|371601	0	0.00424	0.0165	0	2.87923	0	0.05144	0	0.40306	0.002	0	0.18765	0.00108	0	0.55279	0.28228
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae	2|976|200643|171549|2005519	0.00299	0	0.06262	0	3.10219	0	1.78019	0	3.57426	0.40175	0.00172	0.61741	0.03067	0.13447	1.88492	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Barnesiella	2|976|200643|171549|2005519|397864	0.00299	0	0.06262	0	3.10219	0	1.78019	0	2.91997	0.38948	0.00172	0.61741	0.03067	0.13447	1.88492	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Barnesiella|s__Barnesiella_intestinihominis	2|976|200643|171549|2005519|397864|487174	0.00299	0	0.06262	0	3.10219	0	1.78019	0	2.91997	0.38948	0.00172	0.61741	0.03067	0.13447	1.88492	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Coprobacter	2|976|200643|171549|2005519|1348911	0	0	0	0	0	0	0	0	0.65429	0.01227	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Barnesiellaceae|g__Coprobacter|s__Coprobacter_fastidiosus	2|976|200643|171549|2005519|1348911|1099853	0	0	0	0	0	0	0	0	0.65429	0.01227	0	0	0	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae	2|976|200643|171549|1853231	0	0.16845	0	0.00278	1.05061	0.03353	0.33011	0	0	0.13215	0.01642	0.05678	0.1047	0.21621	0.28119	0.6893
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Butyricimonas	2|976|200643|171549|1853231|574697	0	0.16845	0	0	0.71316	0	0.10022	0	0	0.0063	0	0.00089	0.01178	0	0.05221	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Butyricimonas|s__Butyricimonas_virosa	2|976|200643|171549|1853231|574697|544645	0	0.16845	0	0	0.71316	0	0.10022	0	0	0.0063	0	0.00089	0.01178	0	0.05221	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Odoribacter	2|976|200643|171549|1853231|283168	0	0	0	0.00278	0.33745	0.03353	0.22989	0	0	0.12585	0.01642	0.05589	0.09292	0.21621	0.22898	0.6893
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Odoribacter|s__Odoribacter_laneus	2|976|200643|171549|1853231|283168|626933	0	0	0	0	0	0	0	0	0	0	0	0	0.06628	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Odoribacter|s__Odoribacter_splanchnicus	2|976|200643|171549|1853231|283168|28118	0	0	0	0.00278	0.33745	0.03353	0.22989	0	0	0.12585	0.01642	0.05589	0.02664	0.21621	0.22898	0.6893
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae	2|976|200643|171549|171551	0	0	0	0	0	0	0	0	0	0	0	0	0.00152	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Sanguibacteroides	2|976|200643|171549|171551|1635148	0	0	0	0	0	0	0	0	0	0	0	0	0.00152	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Sanguibacteroides|s__Sanguibacteroides_justesenii	2|976|200643|171549|171551|1635148|1547597	0	0	0	0	0	0	0	0	0	0	0	0	0.00152	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae	2|976|200643|171549|171552	70.36536	15.82973	35.99878	5.99938	6.10605	23.05878	22.86863	0.0102	21.60259	15.34215	10.80461	0.95356	13.14283	4.31897	3.1182	24.6043
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella	2|976|200643|171549|171552|577309	0	0	0	0.03026	0.11136	0.18011	0	0	3.26782	0.00192	0	0.25511	0.07251	0.30509	3.1147	0.04723
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella|s__Paraprevotella_clara	2|976|200643|171549|171552|577309|454154	0	0	0	0	0	0.07072	0	0	0	0	0	0	0	0.01135	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella|s__Paraprevotella_xylaniphila	2|976|200643|171549|171552|577309|454155	0	0	0	0.03026	0.11136	0.1094	0	0	3.26782	0.00192	0	0.25511	0.07251	0.29374	3.1147	0.04723
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella	2|976|200643|171549|171552|838	70.36536	15.82973	35.99878	5.96911	5.9947	22.87867	22.86863	0.0102	18.33478	15.34023	10.80461	0.69845	13.07032	4.01389	0.0035	24.55707
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_bivia	2|976|200643|171549|171552|838|28125	0	0	0	0	0	0	0	0	0	0	0	0	0.10455	0	0	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_copri	2|976|200643|171549|171552|838|165179	70.36536	13.7326	24.38514	2.65497	5.99229	16.27827	22.86863	0.00691	0.0618	12.85223	4.69122	0.69845	0.12004	0.0067	0.0035	6.15752
